"Reporting.Economy.Code","Product.Sector.Code","Unit.Code","2019.","2020.","2021.","2022.E","2018.","2016.","2017.","2022.","2017.E","2019.E","2021.E","2020.E","2018.E","2016.E","2016.B","2017.B"
"012","MAIS","USM",NA,NA,NA,NA,NA,0.226708,9.607763,NA,NA,122.809219,872.619969,60.359589,54.976264,NA,NA,NA
"012","MAMT","USM",NA,NA,NA,NA,NA,53.889917,80.982066,NA,NA,106.804607,111.738397,111.601674,158.666073,NA,NA,NA
"012","MAMTAU","USM",NA,NA,NA,NA,NA,0.291738,0.127646,NA,NA,5.848581,17.88568,6.963804,7.049777,NA,NA,NA
"012","MAMTOF","USM",NA,NA,NA,NA,NA,6.260199,13.329374,NA,NA,13.996332,5.644322,6.219666,10.586829,NA,NA,NA
"012","MAMTOTEP","USM",NA,NA,NA,NA,NA,0.037507,0.99797,NA,NA,0.399957,0.733426,0.485634,0.606144,NA,NA,NA
"012","MAMTOTIC","USM",NA,NA,NA,NA,NA,1.59792,4.189683,NA,NA,0.770055,0.297221,0.463229,0.315435,NA,NA,NA
"012","MAMTOTTL","USM",NA,NA,NA,NA,NA,4.624772,8.141721,NA,NA,12.82632,4.613676,5.270803,9.66525,NA,NA,NA
"012","MAMTTE","USM",NA,NA,NA,NA,NA,2.38148,21.081749,NA,NA,21.084486,22.472479,40.157016,21.464234,NA,NA,NA
"012","MATE","USM",NA,NA,NA,NA,NA,0.610806,1.182276,NA,NA,7.428188,10.185361,21.101243,3.194409,NA,NA,NA
"012","MI","USM",NA,NA,NA,NA,NA,28661.302181,33880.809328,NA,NA,33656.411199,32539.115641,21542.127733,39602.579175,NA,NA,NA
"012","MIFU","USM",NA,NA,NA,NA,NA,28585.789555,33822.732721,NA,NA,33526.443689,32389.34998,21447.479148,39480.774345,NA,NA,NA
"012","TO","USM",35312.258216,21925.274171,38558.266037,60924.102593,41797,30026,35191,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","TO","USM",353.215,NA,NA,366,377.313,388,396.791032,NA,NA,NA,317,399,NA,NA,NA,NA
"020","TO","USM",NA,NA,NA,NA,129.448151,96.912958,117.965611,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","AG","USM",131.83594,133.118968,93.669075,NA,288.294974,235.430371,239.201946,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","AGFO","USM",112.291006,114.621227,92.921504,NA,142.972358,169.812912,147.49152,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MA","USM",294.750585,196.31605,275.211763,NA,1699.381916,778.917052,464.892126,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MACH","USM",13.409864,9.001524,6.086491,NA,17.351723,15.134263,18.866727,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MACHPH","USM",0.28623,0.058399,0.047975,NA,0.011572,0.032126,0.017177,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MACL","USM",0.465751,0.39257,0.351901,NA,0.349494,0.632733,0.332023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAIS","USM",18.434837,10.668099,22.356203,NA,21.539464,49.923715,27.667567,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMT","USM",183.421243,116.003263,101.708859,NA,1549.642036,454.602358,269.715329,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMTAU","USM",9.908414,5.650202,6.289781,NA,6.063584,23.411236,12.994225,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMTOF","USM",2.838717,2.036048,3.550593,NA,5.659059,8.278584,6.880303,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMTOTEP","USM",1.274078,0.921818,1.391935,NA,1.849128,2.668823,1.926863,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMTOTIC","USM",0.200443,0.129713,0.096583,NA,0.675604,0.206887,0.685404,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMTOTTL","USM",1.364196,0.984517,2.062075,NA,3.134327,5.402874,4.268036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMTTE","USM",47.634474,36.223146,20.41632,NA,1364.45708,153.900139,34.970301,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MATE","USM",1.168364,0.995235,1.089283,NA,0.755061,1.925825,2.264194,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MI","USM",NA,NA,NA,NA,NA,NA,NA,NA,33908.824702,34297.652494,33211.816052,20607.343705,38768.568279,26573.692062,NA,NA
"024","MIFU","USM",NA,NA,NA,NA,NA,NA,NA,NA,32760.869064,33067.785231,31602.393134,19487.603899,37564.881735,25579.598468,NA,NA
"024","TO","USM",35432.454858,22134.505473,34472.161956,NA,40757.767,27588.9,34613.455,51274.951711,NA,NA,NA,NA,NA,NA,NA,NA
"028","AG","USM",4.808659,NA,NA,NA,6.261666,1.443879,5.231545,NA,NA,NA,3.375182,1.964891,NA,NA,NA,NA
"028","AGFO","USM",4.786198,NA,NA,NA,5.805018,1.182614,5.026865,NA,NA,NA,3.184953,1.935042,NA,NA,NA,NA
"028","MA","USM",7.760814,NA,NA,NA,9.550276,NA,NA,NA,14.873084,NA,4.020096,6.008297,NA,58.720633,NA,NA
"028","MACH","USM",0.25156,NA,NA,NA,0.174386,0.285602,0.713484,NA,NA,NA,0.385271,0.060791,NA,NA,NA,NA
"028","MACHPH","USM",0.073925,NA,NA,NA,0.016223,0.084729,0.082104,NA,NA,NA,0.113218,0.084185,NA,NA,NA,NA
"028","MACL","USM",1.134156,NA,NA,NA,1.572484,0.616435,1.159958,NA,NA,NA,0.487737,0.686672,NA,NA,NA,NA
"028","MAIS","USM",0.401129,NA,NA,NA,1.446942,0.362294,1.174959,NA,NA,NA,0.023711,0.003359,NA,NA,NA,NA
"028","MAMT","USM",2.077159,NA,NA,NA,2.266153,41.949576,NA,NA,3.877931,NA,1.036616,1.643183,NA,NA,NA,NA
"028","MAMTAU","USM",0.775891,NA,NA,NA,0.741785,0.515765,0.846234,NA,NA,NA,0.283805,0.503756,NA,NA,NA,NA
"028","MAMTOF","USM",0.286404,NA,NA,NA,0.364186,0.495459,0.601397,NA,NA,NA,0.220713,0.26766,NA,NA,NA,NA
"028","MAMTOTEP","USM",0.067816,NA,NA,NA,0.066706,0.060499,0.041975,NA,NA,NA,0.146786,0.010738,NA,NA,NA,NA
"028","MAMTOTIC","USM",0.000568,NA,NA,NA,0.021683,0.004106,0.143873,NA,NA,NA,5.4e-05,0.000174,NA,NA,NA,NA
"028","MAMTOTTL","USM",0.21802,NA,NA,NA,0.275797,0.430854,0.415549,NA,NA,NA,0.073872,0.256748,NA,NA,NA,NA
"028","MAMTTE","USM",1.431035,NA,NA,NA,1.041732,38.543926,NA,NA,7.246006,NA,0.523443,1.175208,NA,NA,NA,NA
"028","MATE","USM",0.018497,NA,NA,NA,0.063916,11.259512,NA,NA,0.933688,NA,0.005525,0.007354,NA,NA,NA,NA
"028","MI","USM",4.489205,NA,NA,NA,1.129052,0.769037,0.259234,NA,NA,NA,11.701212,3.099728,NA,NA,NA,NA
"028","MIFU","USM",4.48232,NA,NA,NA,1.043245,0.622734,0.086837,NA,NA,NA,11.368186,3.081777,NA,NA,NA,NA
"028","TO","USM",37.681,22.2,19.144,NA,25.841,NA,20.856,21.874,NA,NA,NA,NA,NA,NA,60.956,NA
"031","AG","USM",899.091076,895.621276,1032.509193,NA,786.708734,542.365363,699.311242,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","AGFO","USM",768.456733,754.195173,809.457919,NA,700.840257,520.911125,654.0142,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MA","USM",565.406417,479.887306,1060.33061,NA,487.351626,417.013338,426.205763,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MACH","USM",279.399809,246.185719,683.024598,NA,194.608577,153.199581,178.748472,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MACHPH","USM",1.34199,1.453697,4.822905,NA,1.880554,2.474694,1.049163,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MACL","USM",1.162387,1.526618,1.449578,NA,1.373067,2.24638,1.635575,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MAIS","USM",47.464076,44.413785,108.509287,NA,78.099387,87.649375,77.060467,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MAMT","USM",88.776054,71.800656,64.015903,NA,72.225511,98.874787,57.918333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MAMTAU","USM",8.141167,1.931219,5.580912,NA,3.952447,15.95977,9.367104,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MAMTOF","USM",5.42792,20.024357,5.44028,NA,5.74557,2.965162,2.965508,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MAMTOTEP","USM",2.117576,17.587635,2.75025,NA,2.791942,0.928692,1.557469,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MAMTOTIC","USM",0.361125,0.143897,0.160822,NA,0.127095,0.057437,0.082317,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MAMTOTTL","USM",2.949219,2.292825,2.529208,NA,2.826533,1.979033,1.325722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MAMTTE","USM",17.185805,6.342051,9.883866,NA,10.271301,61.006315,10.956803,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MATE","USM",59.1587,46.181368,86.427444,NA,52.485867,29.950452,40.783208,NA,NA,NA,NA,NA,NA,NA,NA,NA
"031","MI","USM",17996.358489,12158.691948,19906.946621,NA,18057.493364,NA,14052.90493,NA,NA,NA,NA,NA,NA,12146.813076,NA,NA
"031","MIFU","USM",17800.170639,11981.306114,19631.204365,NA,17878.567387,NA,13867.052258,NA,NA,NA,NA,NA,NA,12000.160388,NA,NA
"031","TO","USM",19635.2,13732.6,22208,NA,20316.8,13107.5,15480.5,38146.6,NA,NA,NA,NA,NA,NA,NA,NA
