"Reporting.Economy.Code","Product.Sector.Code","Unit.Code","2019.","2020.","2021.","2022.E","2018.","2016.","2017.","2022.","2020.E","2021.E","2019.E","2017.E","2018.E","2016.E","2016.B","2017.B"
"012","MAMTTE","USM",NA,NA,NA,NA,NA,4533.313894,4622.948444,NA,2285.915434,2348.069311,4232.193509,NA,5993.601438,NA,NA,NA
"012","MATE","USM",NA,NA,NA,NA,NA,627.792191,637.118681,NA,857.082151,876.435743,988.050848,NA,968.332537,NA,NA,NA
"012","MI","USM",NA,NA,NA,NA,NA,2321.253858,2617.158196,NA,1505.409159,2131.607997,3169.850441,NA,3589.660506,NA,NA,NA
"012","MIFU","USM",NA,NA,NA,NA,NA,1561.756263,1938.005194,NA,660.786828,659.709104,2350.322475,NA,2902.451773,NA,NA,NA
"012","TO","USM",44632.427299,35547.017066,37464.483932,39027.400825,46330.21,47089,46059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","TO","USM",711.567,NA,NA,791,653.344,654.764,NA,NA,698,711,NA,595,NA,NA,NA,NA
"020","TO","USM",1539.071292,1494.812273,1563.4924,NA,1609.394249,1354.095936,1478.292965,1864.440633,NA,NA,NA,NA,NA,NA,NA,NA
"024","AG","USM",2864.579296,2226.394086,2211.523444,NA,3437.12252,2045.70506,2906.369274,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","AGFO","USM",2732.010665,2135.728686,2103.668069,NA,3277.290524,1966.432304,2742.268931,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MA","USM",9122.459288,6096.664931,7243.299672,NA,9482.812612,7873.309946,8655.746647,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MACH","USM",1420.487656,1151.625951,1325.958631,NA,1589.25251,1184.827313,1463.378431,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MACHPH","USM",304.41677,282.541795,331.21594,NA,362.858909,235.178702,290.97241,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MACL","USM",117.75651,63.7892,73.1749,NA,110.504777,93.757164,187.482304,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAIS","USM",377.287192,298.062729,387.300961,NA,351.980491,643.152413,350.363663,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMT","USM",5116.231577,3017.151399,3475.684696,NA,5371.106101,4031.090685,4516.596691,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMTAU","USM",612.240089,496.94971,705.139551,NA,616.299379,278.893598,680.498012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMTOF","USM",429.079243,298.112587,500.253976,NA,416.238018,331.606231,391.660003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMTOTEP","USM",186.886377,130.573146,193.436457,NA,153.173019,125.265079,130.512845,NA,NA,NA,NA,NA,NA,NA,NA,NA
"024","MAMTOTIC","USM",41.067361,22.578661,115.562045,NA,25.361434,22.011923,41.038145,NA,NA,NA,NA,NA,NA,NA,NA,NA
